,,,MRTA UNDERGROUND STRUCTURE-SOUTH,,,,,Location: SILOM STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contractor: JV BCKT,,,,,Type of Instrument & No.,,,IN-3-DS-5 (A) Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Construction Office: B,,,,,Readout No.: DATAMATE,,,S/N:11248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Subcontractor: LEO JOVIAN,,,,,Date:,12/31/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Base Date:  13/03/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deflection,,,,,,,,,,,,Elevation (m),12/11/1999,12/13/1999,12/17/1999,12/21/1999,12/24/1999,12/28/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.00,5.55,,,,,,,,,,,,25.50,3.25,4.62,4.74,5.11,5.43,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.50,5.60,,,,,,,,,,,,26.00,3.22,4.56,4.62,4.99,5.39,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.00,5.62,,,,,,,,,,,,26.50,3.27,4.55,4.55,4.86,5.32,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.50,5.55,,,,,,,,,,,,27.00,2.92,4.48,4.36,4.67,5.11,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.00,5.44,,,,,,,,,,,,27.50,3.01,4.22,4.06,4.57,5.09,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.50,5.46,,,,,,,,,,,,28.00,3.02,3.91,3.73,4.22,4.70,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.00,5.11,,,,,,,,,,,,28.50,2.88,3.50,3.20,3.69,4.13,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.50,4.56,,,,,,,,,,,,29.00,2.63,3.28,2.98,3.33,3.79,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.00,4.24,,,,,,,,,,,,29.50,2.67,3.27,3.07,3.54,3.84,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.50,4.29,,,,,,,,,,,,30.00,3.24,3.74,3.70,4.01,4.49,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
